doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Burbank School,School Budget,school_summary,7514869.0,proposed,62.75,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Burbank School,Enrollment,enrollment,,adopted,509.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Burbank School,Enrollment,enrollment,,proposed,489.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Burdick School,School Budget,school_summary,6257733.0,adopted,54.01,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Burdick School,School Budget,school_summary,6745059.0,proposed,57.3,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Burdick School,Enrollment,enrollment,,adopted,455.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Burdick School,Enrollment,enrollment,,proposed,418.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Carson Academy,School Budget,school_summary,3791633.0,adopted,30.4,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Carson Academy,School Budget,school_summary,4398862.0,proposed,36.65,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Carson Academy,Enrollment,enrollment,,adopted,280.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Carson Academy,Enrollment,enrollment,,proposed,285.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Carver Academy,School Budget,school_summary,4411833.0,adopted,36.05,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Carver Academy,School Budget,school_summary,4855796.0,proposed,40.9,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Carver Academy,Enrollment,enrollment,,adopted,292.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Carver Academy,Enrollment,enrollment,,proposed,276.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Cass Street School,School Budget,school_summary,4215365.0,adopted,32.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Cass Street School,School Budget,school_summary,4141651.0,proposed,34.65,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Cass Street School,Enrollment,enrollment,,adopted,280.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Cass Street School,Enrollment,enrollment,,proposed,260.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clarke Street School,School Budget,school_summary,3179268.0,adopted,24.55,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clarke Street School,School Budget,school_summary,2881808.0,proposed,23.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clarke Street School,Enrollment,enrollment,,adopted,177.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clarke Street School,Enrollment,enrollment,,proposed,172.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clemens School,School Budget,school_summary,4759464.0,adopted,42.03,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clemens School,School Budget,school_summary,5030526.0,proposed,43.6,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clemens School,Enrollment,enrollment,,adopted,311.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clemens School,Enrollment,enrollment,,proposed,302.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clement Avenue School,School Budget,school_summary,3420084.0,adopted,28.75,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Clement Avenue School,School Budget,school_summary,3532663.0,proposed,28.75,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Clement Avenue School,Enrollment,enrollment,,adopted,235.0,,,,,,,
